,Unnamed: 0,PSU,contraceptive_No,contraceptive_Yes,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,dt_Jointly,dt_rest,edu_noedu,edu_primary,edu_secondary,edu_higher,rel_Hindu,rel_nonHindu,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,caste_OBC,caste_SC,caste_ST,caste_Others,residence_rural,residence_urban,counselling_no,counselling_yes,parity_0,parity_1_2,parity_3,sum(mediaFP),outlier
2330,2331,334043,11,5,0,4,4,4,2,0,2,8,8,6,2,6,2,15,1,0,1,9,3,3,4,10,0,2,16,0,12,4,1,7,8,0,No
2331,2332,334044,28,6,2,7,8,3,5,1,8,9,25,18,1,14,1,32,2,2,2,13,17,0,32,0,0,2,34,0,26,8,10,8,16,1,Yes
2332,2333,334046,15,1,3,2,3,3,2,2,1,5,11,9,3,4,0,14,2,5,9,2,0,0,9,7,0,0,16,0,11,5,4,4,8,0,No
2333,2334,334047,7,13,0,4,4,3,3,2,4,15,5,0,0,6,14,20,0,0,0,0,0,20,0,0,0,20,0,20,16,4,3,15,2,3,No
2334,2335,334050,15,6,1,4,6,1,2,5,2,9,12,7,5,7,2,21,0,0,6,1,5,9,15,5,0,1,21,0,8,13,2,8,11,0,No
2335,2336,334051,7,7,1,1,1,2,3,3,3,10,4,6,5,3,0,13,1,2,2,2,7,1,9,5,0,0,14,0,6,8,1,4,9,0,No
2336,2337,334052,16,5,2,4,5,2,2,5,1,8,13,7,5,8,1,20,1,1,3,11,6,0,11,9,0,1,21,0,17,4,0,9,12,1,No
2337,2338,334055,12,8,0,2,4,3,3,4,4,7,13,4,4,10,2,1,19,0,0,0,2,18,12,0,0,8,0,20,18,2,3,9,8,1,No
2338,2339,334056,18,2,1,2,5,5,3,2,2,2,18,13,2,5,0,19,1,8,4,5,3,0,9,4,1,6,20,0,20,0,1,5,14,0,No
2339,2340,334057,5,5,0,2,1,2,2,3,0,3,7,4,3,3,0,10,0,1,0,7,2,0,4,6,0,0,10,0,10,0,1,4,5,0,No
2340,2341,334058,8,4,0,1,3,3,4,1,0,2,10,1,3,5,3,12,0,0,0,0,5,7,9,0,0,3,0,12,11,1,0,10,2,0,No
2341,2342,334059,11,6,0,2,4,5,3,1,2,7,10,6,3,5,3,15,2,0,0,1,8,8,9,8,0,0,0,17,12,5,1,9,7,3,No
2342,2343,334061,12,8,1,7,3,3,1,4,1,8,12,6,2,10,2,20,0,10,4,3,2,1,11,1,4,4,20,0,13,7,4,7,9,0,No
2343,2344,334062,14,11,0,5,8,4,3,1,4,11,14,16,1,7,1,25,0,1,10,12,1,1,12,13,0,0,25,0,17,8,2,7,16,6,No
2344,2345,334063,11,10,0,6,2,3,5,3,2,12,9,5,1,13,2,20,1,0,1,2,10,8,15,5,0,1,21,0,16,5,0,13,8,0,No
2345,2346,334066,13,4,0,6,3,4,0,2,2,7,10,9,2,5,1,13,4,0,2,5,9,1,6,11,0,0,0,17,13,4,4,3,10,0,No
2346,2347,334067,10,2,0,1,3,4,1,2,1,3,9,5,1,6,0,4,8,1,1,3,5,2,6,4,0,2,0,12,9,3,2,3,7,0,No
2347,2348,334068,19,2,0,5,3,4,3,3,3,2,19,11,2,5,3,20,1,1,2,6,4,8,11,1,0,9,0,21,16,5,6,6,9,7,No
